2.2314,627,1
-2.5794,1075,1
6.2745,1432,1
1.5826,1482,1
2.0753,44,0
4.9125,46,0
3.5701,62,0
-3.7608,182,0
4.788,187,0
0.75254,213,0
-0.43181,221,0
5.0946,232,0
0.76439,277,0
2.4298,331,0
3.0122,338,0
1.2361,365,0
1.5352,394,0
1.3875,396,0
1.5649,426,0
-0.15396,437,0
8.5704,450,0
4.2068,465,0
1.8399,466,0
-11.99,495,0
2.9623,540,0
3.343,547,0
3.3018,558,0
4.9289,565,0
4.1533,575,0
1.8301,622,0
3.8211,734,0
2.8942,765,0
0.95852,815,0
4.7595,816,0
3.7376,833,0
4.8364,882,0
3.0692,889,0
-4.4857,960,0
11.797,984,0
3.6388,1039,0
5.3015,1049,0
3.8416,1051,0
2.4304,1059,0
-34.047,1103,0
2.1103,1192,0
0.98617,1201,0
-1.046,1221,0
21.652,1241,0
2.1297,1257,0
0.84372,1290,0
8.0593,1305,0
4.8728,1425,0
-3.1983,1431,0
0.96228,1435,0
0.83729,1448,0
-6.4141,1500,0
1.6707,1501,0
4.3529,1509,0
0.32948,1553,0
3.8274,1665,0
3.4623,1727,0
1.0616,1763,0
-9.0296,1764,0
4.2893,1776,0
0.9238,1779,0
4.8354,1823,0
-0.028386,1878,0
1.0282,1894,0
1.8229,1903,0
2.2446,1923,0
4.3449,1933,0
-0.5758,2017,0
-5.5253,2026,0
2.6586,2030,0
-2.6668,2042,0
0.81154,2043,0
-0.74039,2047,0
-1.8165,2077,0
5.4338,2085,0
2.552,2098,0
0.7515,2110,0
0.96058,2124,0
2.2779,2130,0
1.1076,2145,0
1.7584,2172,0
2.5209,2200,0
0.44388,2213,0
-0.55054,2264,0
1.3716,2316,0
2.0104,2317,0
24.51,2343,0
2.6916,2351,0
1.4303,2362,0
