Player,Country,Matches,Innings,Balls,Runs,Wickets,Average,Economy Rate,Strike Rate,5 W I,10 W M,world,BestB Inning,BestBInning,Wickt/Inning,ball/inning,Runs/innings,Player ID
A Kumble,India,132,236,40850,18355,619,29.65,2.69,65.9,35,8,0,0.135135135,0.093959732,2.622881356,173.0932203,77.77542373,22
AB Agarkar,India,26,46,4857,2745,58,47.32,3.39,83.7,1,0,0,0.146341463,0.05,1.260869565,105.5869565,59.67391304,51
BKV Prasad,India,33,58,7041,3360,96,35,2.86,73.3,7,1,0,0.181818182,0.065359477,1.655172414,121.3965517,57.93103448,313
BS Bedi,India,67,118,21364,7637,266,28.71,2.14,80.3,14,1,0,0.071428571,0.051546392,2.254237288,181.0508475,64.72033898,333
BS Chandrasekhar,India,58,97,15963,7199,242,29.74,2.7,65.9,16,2,0,0.101265823,0.115384615,2.494845361,164.5670103,74.21649485,334
C Sharma,India,23,39,3470,2163,61,35.45,3.74,56.8,4,1,0,0.103448276,0.053191489,1.564102564,88.97435897,55.46153846,354
DR Doshi,India,33,55,9322,3502,114,30.71,2.25,81.7,6,0,0,0.058823529,0.077669903,2.072727273,169.4909091,63.67272727,587
EAS Prasanna,India,49,86,14353,5742,189,30.38,2.4,75.9,10,2,0,0.105263158,0.078571429,2.197674419,166.8953488,66.76744186,644
Harbhajan Singh,India,101,186,28293,13372,413,32.37,2.83,68.5,25,5,0,0.095238095,0.069124424,2.220430108,152.1129032,71.89247312,933
I Sharma,India,58,101,11715,6542,178,36.75,3.35,65.8,6,1,0,0.094594595,0.092592593,1.762376238,115.990099,64.77227723,1009
IK Pathan,India,29,54,5884,3226,100,32.26,3.28,58.8,7,2,0,0.118644068,0.095238095,1.851851852,108.962963,59.74074074,1034
J Srinath,India,67,121,15104,7196,236,30.49,2.85,64,10,1,0,0.093023256,0.098484848,1.950413223,124.8264463,59.47107438,1092
KD Ghavri,India,39,69,7036,3656,109,33.54,3.11,64.5,4,0,0,0.151515152,0.058333333,1.579710145,101.9710145,52.98550725,1301
M Prabhakar,India,39,68,7475,3581,96,37.3,2.87,77.8,3,0,0,0.045454545,0.065217391,1.411764706,109.9264706,52.66176471,1436
Maninder Singh,India,35,52,8218,3288,88,37.36,2.4,93.3,3,2,0,0.259259259,0.093457944,1.692307692,158.0384615,63.23076923,1460
N Kapil Dev,India,131,227,27740,12867,434,29.64,2.78,63.9,23,2,0,0.108433735,0.075342466,1.911894273,122.2026432,56.68281938,1620
NS Yadav,India,35,61,8360,3580,102,35.09,2.56,81.9,3,0,0,0.065789474,0.06779661,1.672131148,137.0491803,58.68852459,1679
PP Ojha,India,24,48,7633,3420,113,30.26,2.68,67.5,7,1,0,0.127659574,0.112359551,2.354166667,159.0208333,71.25,1771
R Ashwin,India,21,39,6330,3066,107,28.65,2.9,59.1,9,2,0,0.067961165,0.141176471,2.743589744,162.3076923,78.61538462,1792
RJ Shastri,India,80,125,15751,6185,151,40.96,2.35,104.3,2,0,0,0.066666667,0.044692737,1.208,126.008,49.48,1902
S Madan Lal,India,39,63,5997,2846,71,40.08,2.84,84.4,4,0,0,0.217391304,0.127659574,1.126984127,95.19047619,45.17460317,1993
S Sreesanth,India,27,50,5419,3271,87,37.59,3.62,62.2,3,0,0,0.125,0.080808081,1.74,108.38,65.42,2005
S Venkataraghavan,India,57,96,14877,5634,156,36.11,2.27,95.3,3,1,0,0.111111111,0.078947368,1.625,154.96875,58.6875,2006
SLV Raju,India,28,51,7602,2857,93,30.72,2.25,81.7,5,1,0,0.857142857,0.088,1.823529412,149.0588235,56.01960784,2104
Z Khan,India,92,165,18785,10247,311,32.94,3.27,60.4,11,1,0,0.08045977,0.067114094,1.884848485,113.8484848,62.1030303,2395
